,asset,time,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
0,eth,2016-01-01T00:00:00.000000000Z,2433,2.16605632,70101158.58,0.483217173,264.8142656,0.92037,76166279.41,8233,264718.2108,1.362125575
1,eth,2016-01-02T00:00:00.000000000Z,2486,2.22649136,72383218.21,0.480767234,370.2218974,0.94999,76193663.31,9164,195513.0659,1.365053563
2,eth,2016-01-03T00:00:00.000000000Z,2528,2.23809044,72948617.98,0.494175133,234.2116693,0.957062928,76221339.09,9258,311464.4893,1.369429618
3,eth,2016-01-04T00:00:00.000000000Z,2623,2.22238525,72436321.73,0.491669516,626.14101,0.95,76248759.72,9474,115686.9149,1.370961344
4,eth,2016-01-05T00:00:00.000000000Z,2620,2.20757338,71898322.16,0.492788266,111.4692981,0.9426,76276598.94,16430,645005.606,1.384049259
5,eth,2016-01-06T00:00:00.000000000Z,2743,2.22774819,72489013.19,0.49624981,159.1110719,0.95,76304224.41,17074,455587.4855,1.390600212
6,eth,2016-01-07T00:00:00.000000000Z,2788,2.20804468,71747363.14,0.473369433,251.8267143,0.939947483,76331246.59,22075,284907.6729,1.394880456
7,eth,2016-01-08T00:00:00.000000000Z,2696,2.29828206,75213854.66,0.497670878,446.0087305,0.985,76359243.31,10919,168637.6286,1.396988252
8,eth,2016-01-09T00:00:00.000000000Z,2767,2.26559203,74088362.59,0.497718313,327.4413996,0.969910046,76386839.09,11793,226264.494,1.399907254
9,eth,2016-01-10T00:00:00.000000000Z,2909,2.3247523,76414127.06,0.4915948,659.1491771,1,76414127.06,10320,115928.4267,1.401256972
10,eth,2016-01-11T00:00:00.000000000Z,3053,2.4620569,81861323.16,0.521793689,195.0808996,1.070906733,76441132.22,10893,419627.5665,1.407369112
11,eth,2016-01-12T00:00:00.000000000Z,3070,2.63709005,90036108.01,0.507370322,104.264734,1.17745,76467033,10862,863533.6658,1.419866421
12,eth,2016-01-13T00:00:00.000000000Z,2908,2.56117759,87006079.41,0.491295877,207.7862428,1.13743,76493568.31,17665,418728.7773,1.425042381
13,eth,2016-01-14T00:00:00.000000000Z,2835,2.61281352,89216820.09,0.514954912,278.7929563,1.165920696,76520487.53,10653,320011.0264,1.428896461
14,eth,2016-01-15T00:00:00.000000000Z,3217,2.81991099,98814204.74,0.529688525,99.83338549,1.290891047,76547284.87,9875,989791.1831,1.440829304
15,eth,2016-01-16T00:00:00.000000000Z,2774,2.66310578,92791374.8,0.537548256,173.2106023,1.21179,76573808,10664,535714.1744,1.447819013
16,eth,2016-01-17T00:00:00.000000000Z,2667,2.64132391,100418299.6,0.528553524,246.1999678,1.310936879,76600407.84,9747,407872.9192,1.45223643
17,eth,2016-01-18T00:00:00.000000000Z,3137,2.7990783,112353934,0.555148744,39.59072445,1.466244182,76627028,12916,2837885.276,1.484657968
18,eth,2016-01-19T00:00:00.000000000Z,2933,2.61101411,103715244.4,0.548841035,85.54136506,1.353046598,76653120.81,13420,1212457.205,1.500390834
19,eth,2016-01-20T00:00:00.000000000Z,3455,2.7676534,111693248.5,0.54909785,154.1408216,1.45662153,76679663.31,10610,724618.2248,1.507725378
20,eth,2016-01-21T00:00:00.000000000Z,3047,2.8235497,114746182.1,0.551330029,189.8164103,1.49593,76705582.53,10734,604511.3903,1.513676395
21,eth,2016-01-22T00:00:00.000000000Z,3114,2.83956376,116632393,0.573484339,91.07376745,1.52,76731837.53,13848,1280636.525,1.525149613
